insert() runtime [ms],get() runtime [ms],memory usage [kB],
0.006,0.005,4.144,
0.008,0.007,4.144,
0.007,0.009,4.144,
0.006,0.009,4.144,
0.024,0.021,4.144,
0.006,0.007,4.144,
0.008,0.004,4.144,
0.005,0.008,4.144,
0.007,0.010,4.144,
0.005,0.006,4.144,
0.006,0.007,4.144,
0.006,0.004,4.144,
0.006,0.007,4.144,
0.006,0.005,4.144,
0.006,0.005,4.144,
0.007,0.008,4.144,
0.006,0.008,4.144,
0.003,0.008,4.144,
0.004,0.006,4.144,
0.006,0.007,4.144,
0.007,0.004,4.144,
0.005,0.006,4.144,
0.006,0.006,4.144,
0.006,0.006,4.144,
0.007,0.022,4.144,
0.007,0.009,4.144,
0.008,0.006,4.144,
0.007,0.008,4.144,
0.025,0.024,4.144,
0.007,0.006,4.144,
0.005,0.008,4.144,
0.008,0.007,4.144,
0.008,0.008,4.144,
0.005,0.006,4.144,
0.008,0.023,4.144,
0.007,0.006,4.144,
0.011,0.009,4.144,
0.028,0.009,4.144,
0.017,0.006,4.144,
0.013,0.009,4.144,
0.015,0.005,4.144,
0.015,0.008,4.144,
0.013,0.010,4.144,
0.017,0.010,4.144,
0.027,0.007,4.144,
0.022,0.023,4.144,
0.017,0.005,4.144,
0.013,0.008,4.144,
0.016,0.008,4.144,
0.011,0.008,4.144,
0.015,0.007,4.144,
0.013,0.009,4.144,
0.011,0.007,4.144,
0.014,0.008,4.144,
0.013,0.010,4.144,
0.021,0.021,4.144,
0.031,0.006,4.144,
0.012,0.008,4.144,
0.013,0.008,4.144,
0.015,0.009,4.144,
0.013,0.007,4.144,
0.017,0.008,4.144,
0.015,0.009,4.144,
0.013,0.009,4.144,
0.012,0.009,4.144,
0.032,0.008,4.144,
0.020,0.022,4.144,
0.011,0.022,4.144,
0.014,0.006,4.144,
0.013,0.008,4.144,
0.011,0.008,4.144,
0.014,0.009,4.144,
0.014,0.006,4.144,
0.028,0.005,4.144,
0.015,0.007,4.144,
0.015,0.029,4.144,
0.013,0.005,4.144,
0.010,0.007,4.144,
0.005,0.009,4.144,
0.007,0.006,4.144,
0.021,0.010,4.144,
0.024,0.008,4.144,
0.023,0.007,4.144,
0.029,0.006,4.144,
0.017,0.021,4.144,
0.022,0.021,4.144,
0.016,0.021,4.144,
0.020,0.006,4.144,
0.018,0.020,4.144,
0.021,0.009,4.144,
0.018,0.008,4.144,
0.019,0.009,4.144,
0.037,0.008,4.144,
0.021,0.006,4.144,
0.023,0.009,4.144,
0.020,0.019,4.144,
0.029,0.008,4.144,
0.035,0.009,4.144,
0.013,0.007,4.144,
0.015,0.022,4.144,
0.019,0.007,4.144,
0.042,0.008,4.144,
0.016,0.007,4.144,
0.016,0.006,4.144,
0.018,0.005,4.144,
0.023,0.008,4.144,
0.010,0.007,4.144,
0.007,0.006,4.144,
0.007,0.008,4.144,
0.017,0.008,4.144,
0.008,0.009,4.144,
0.007,0.006,4.144,
0.005,0.007,4.144,
0.008,0.008,4.144,
0.016,0.007,4.144,
0.006,0.005,4.144,
0.006,0.009,4.144,
0.006,0.008,4.144,
0.007,0.008,4.144,
0.006,0.006,4.144,
0.006,0.005,4.144,
0.005,0.006,4.144,
0.006,0.009,4.144,
0.006,0.007,4.144,
0.008,0.007,4.144,
0.004,0.008,4.144,
0.006,0.005,4.144,
0.008,0.007,4.144,
0.005,0.009,4.144,
0.006,0.008,4.144,
0.004,0.008,4.144,
0.007,0.006,4.144,
0.005,0.009,4.144,
0.007,0.005,4.144,
0.006,0.006,4.144,
0.006,0.008,4.144,
0.007,0.008,4.144,
0.006,0.009,4.144,
0.007,0.008,4.144,
0.006,0.008,4.144,
0.007,0.008,4.144,
0.029,0.008,4.144,
0.009,0.008,4.144,
0.007,0.007,4.144,
0.006,0.007,4.144,
0.006,0.008,4.144,
0.006,0.007,4.144,
0.007,0.009,4.144,
0.008,0.008,4.144,
0.008,0.008,4.144,
0.007,0.006,4.144,
0.006,0.004,4.144,
0.006,0.008,4.144,
0.007,0.004,4.144,
0.005,0.009,4.144,
0.006,0.009,4.144,
0.007,0.004,4.144,
0.005,0.005,4.144,
0.005,0.006,4.144,
0.004,0.008,4.144,
0.006,0.006,4.144,
0.006,0.006,4.144,
0.009,0.007,4.144,
0.006,0.007,4.144,
0.007,0.005,4.144,
0.007,0.006,4.144,
0.007,0.004,4.144,
0.007,0.007,4.144,
0.007,0.007,4.144,
0.006,0.008,4.144,
0.006,0.004,4.144,
0.007,0.008,4.144,
0.005,0.004,4.144,
0.008,0.008,4.144,
0.004,0.007,4.144,
0.006,0.008,4.144,
0.007,0.008,4.144,
0.005,0.009,4.144,
0.005,0.007,4.144,
0.005,0.009,4.144,
0.006,0.008,4.144,
0.007,0.006,4.144,
0.008,0.006,4.144,
0.007,0.008,4.144,
0.005,0.008,4.144,
0.007,0.008,4.144,
0.008,0.008,4.144,
0.004,0.003,4.144,
0.006,0.008,4.144,
0.006,0.008,4.144,
0.007,0.007,4.144,
0.006,0.006,4.144,
0.007,0.009,4.144,
0.005,0.007,4.144,
0.023,0.008,4.144,
0.005,0.036,4.144,
0.006,0.024,4.144,
0.005,0.009,4.144,
0.006,0.033,4.144,
0.007,0.009,4.144,
0.006,0.005,4.144,
0.004,0.008,4.144,
0.006,0.008,4.144,
0.006,0.007,4.144,
0.005,0.008,4.144,
0.007,0.006,4.144,
0.008,0.005,4.144,
0.006,0.005,4.144,
0.006,0.005,4.144,
0.007,0.005,4.144,
0.006,0.018,4.144,
0.007,0.005,4.144,
0.005,0.007,4.144,
0.007,0.006,4.144,
0.009,0.006,4.144,
0.007,0.007,4.144,
0.004,0.007,4.144,
0.008,0.004,4.144,
0.006,0.007,4.144,
0.008,0.008,4.144,
0.006,0.006,4.144,
0.005,0.009,4.144,
0.006,0.006,4.144,
0.007,0.007,4.144,
0.005,0.025,4.144,
0.008,0.004,4.144,
0.008,0.005,4.144,
0.007,0.025,4.144,
0.008,0.009,4.144,
0.007,0.007,4.144,
0.006,0.007,4.144,
0.007,0.005,4.144,
0.006,0.008,4.144,
0.007,0.008,4.144,
0.007,0.008,4.144,
0.006,0.007,4.144,
0.007,0.008,4.144,
0.007,0.006,4.144,
0.006,0.007,4.144,
0.007,0.009,4.144,
0.007,0.009,4.144,
0.005,0.004,4.144,
0.006,0.009,4.144,
0.005,0.003,4.144,
0.006,0.006,4.144,
0.007,0.008,4.144,
0.007,0.005,4.144,
0.008,0.007,4.144,
0.005,0.009,4.144,
0.006,0.008,4.144,
0.006,0.006,4.144,
0.007,0.003,4.144,
0.005,0.009,4.144,
0.005,0.007,4.144,
0.006,0.008,4.144,
0.005,0.006,4.144,
0.006,0.008,4.144,
0.005,0.008,4.144,
0.007,0.008,4.144,
0.007,0.006,4.144,
0.007,0.023,4.144,
0.005,0.008,4.144,
0.007,0.007,4.144,
0.008,0.009,4.144,
0.007,0.009,4.144,
0.007,0.007,4.144,
0.008,0.007,4.144,
0.006,0.006,4.144,
0.006,0.007,4.144,
0.007,0.005,4.144,
0.007,0.008,4.144,
0.008,0.007,4.144,
0.006,0.009,4.144,
0.050,0.005,4.144,
0.006,0.007,4.144,
0.008,0.008,4.144,
0.005,0.008,4.144,
0.008,0.008,4.144,
0.007,0.005,4.144,
0.007,0.004,4.144,
0.007,0.008,4.144,
0.006,0.008,4.144,
0.034,0.040,4.144,
0.006,0.029,4.144,
0.069,0.007,4.144,
0.023,0.009,4.144,
0.023,0.007,4.144,
0.023,0.010,4.144,
0.019,0.011,4.144,
0.025,0.010,4.144,
0.031,0.008,4.144,
0.031,0.009,4.144,
0.033,0.009,4.144,
0.038,0.012,4.144,
0.042,0.011,4.144,
0.042,0.012,4.144,
0.010,0.007,4.144,
0.010,0.007,4.144,
0.010,0.008,4.144,
0.018,0.006,4.144,
0.009,0.006,4.144,
0.007,0.006,4.144,
0.007,0.007,4.144,
0.007,0.008,4.144,
0.007,0.009,4.144,
0.043,0.007,4.144,
0.039,0.007,4.144,
0.031,0.008,4.144,
0.034,0.009,4.144,
0.029,0.006,4.144,
0.032,0.004,4.144,
0.032,0.009,4.144,
0.029,0.009,4.144,
0.030,0.009,4.144,
0.076,0.005,4.144,
0.031,0.008,4.144,
0.028,0.005,4.144,
0.029,0.006,4.144,
0.035,0.007,4.144,
0.037,0.009,4.144,
0.048,0.008,4.144,
0.047,0.010,4.144,
0.037,0.005,4.144,
0.048,0.007,4.144,
0.044,0.008,4.144,
0.040,0.008,4.144,
0.062,0.009,4.144,
0.040,0.025,4.144,
0.018,0.008,4.144,
0.017,0.008,4.144,
0.014,0.034,4.144,
0.009,0.024,4.144,
0.012,0.006,4.144,
0.018,0.007,4.144,
0.023,0.007,4.144,
0.013,0.009,4.144,
0.013,0.007,4.144,
0.008,0.008,4.144,
0.007,0.022,4.144,
0.010,0.010,4.144,
0.011,0.020,4.144,
0.013,0.009,4.144,
0.016,0.009,4.144,
0.023,0.008,4.144,
0.014,0.006,4.144,
0.021,0.010,4.144,
0.013,0.007,4.144,
0.015,0.008,4.144,
0.010,0.005,4.144,
0.009,0.008,4.144,
0.009,0.008,4.144,
0.006,0.009,4.144,
0.007,0.008,4.144,
0.008,0.007,4.144,
0.009,0.009,4.144,
0.008,0.009,4.144,
0.009,0.006,4.144,
0.009,0.007,4.144,
0.009,0.008,4.144,
0.008,0.002,4.144,
0.006,0.008,4.144,
0.006,0.006,4.144,
0.007,0.008,4.144,
0.009,0.006,4.144,
0.007,0.005,4.144,
0.004,0.007,4.144,
0.008,0.007,4.144,
0.010,0.008,4.144,
0.007,0.008,4.144,
0.008,0.005,4.144,
0.009,0.009,4.144,
0.010,0.008,4.144,
0.007,0.007,4.144,
0.008,0.005,4.144,
0.011,0.007,4.144,
0.010,0.008,4.144,
0.010,0.007,4.144,
0.011,0.009,4.144,
0.007,0.008,4.144,
0.009,0.006,4.144,
0.006,0.006,4.144,
0.008,0.007,4.144,
0.009,0.006,4.144,
0.010,0.006,4.144,
0.010,0.006,4.144,
0.010,0.006,4.144,
0.008,0.007,4.144,
0.028,0.007,4.144,
0.006,0.008,4.144,
0.007,0.008,4.144,
0.009,0.006,4.144,
0.006,0.007,4.144,
0.010,0.008,4.144,
0.010,0.006,4.144,
0.006,0.007,4.144,
0.008,0.009,4.144,
0.009,0.006,4.144,
0.011,0.007,4.144,
0.007,0.009,4.144,
0.007,0.005,4.144,
0.011,0.008,4.144,
0.010,0.008,4.144,
0.010,0.006,4.144,
0.010,0.006,4.144,
0.010,0.009,4.144,
0.008,0.006,4.144,
0.009,0.008,4.144,
0.011,0.008,4.144,
0.010,0.008,4.144,
0.008,0.009,4.144,
0.005,0.006,4.144,
0.011,0.008,4.144,
0.010,0.007,4.144,
0.008,0.005,4.144,
0.011,0.006,4.144,
0.010,0.006,4.144,
0.010,0.006,4.144,
0.008,0.004,4.144,
0.008,0.005,4.144,
0.006,0.007,4.144,
0.010,0.007,4.144,
0.010,0.007,4.144,
0.008,0.007,4.144,
0.009,0.007,4.144,
0.006,0.006,4.144,
0.009,0.009,4.144,
0.008,0.008,4.144,
0.009,0.008,4.144,
0.008,0.008,4.144,
0.010,0.008,4.144,
0.008,0.007,4.144,
0.005,0.010,4.144,
0.010,0.007,4.144,
0.010,0.006,4.144,
0.008,0.007,4.144,
0.007,0.008,4.144,
0.009,0.008,4.144,
0.012,0.009,4.144,
0.013,1.141,4.144,
0.009,0.007,4.144,
0.005,0.009,4.144,
0.007,0.006,4.144,
0.005,0.007,4.144,
0.010,0.005,4.144,
0.008,0.005,4.144,
0.006,0.008,4.144,
0.007,0.005,4.144,
0.006,0.007,4.144,
0.007,0.007,4.144,
0.005,0.007,4.144,
0.006,0.007,4.144,
0.007,0.008,4.144,
0.007,0.006,4.144,
0.007,0.009,4.144,
0.007,0.008,4.144,
0.009,0.007,4.144,
0.007,0.007,4.144,
0.008,0.006,4.144,
0.007,0.005,4.144,
0.008,0.010,4.144,
0.005,0.008,4.144,
0.008,0.010,4.144,
0.005,0.005,4.144,
0.007,0.007,4.144,
0.006,0.004,4.144,
0.007,0.009,4.144,
0.008,0.007,4.144,
0.005,0.011,4.144,
0.012,0.007,4.144,
0.013,0.007,4.144,
0.012,0.008,4.144,
0.009,0.008,4.144,
0.009,0.008,4.144,
0.009,0.005,4.144,
0.010,0.010,4.144,
0.029,0.007,4.144,
0.007,0.008,4.144,
0.081,0.006,4.144,
0.009,0.006,4.144,
0.008,0.008,4.144,
0.010,0.007,4.144,
0.008,0.007,4.144,
0.007,0.004,4.144,
0.007,0.008,4.144,
0.007,0.008,4.144,
0.008,0.006,4.144,
0.009,0.008,4.144,
0.005,0.006,4.144,
0.006,0.007,4.144,
0.007,0.005,4.144,
0.009,0.009,4.144,
0.007,0.009,4.144,
0.013,0.009,4.144,
0.012,0.008,4.144,
0.008,0.007,4.144,
0.040,0.007,4.144,
0.006,0.008,4.144,
0.011,0.008,4.144,
0.006,0.007,4.144,
0.006,0.009,4.144,
0.009,0.020,4.144,
0.004,0.008,4.144,
0.006,0.005,4.144,
0.009,0.009,4.144,
0.008,0.006,4.144,
0.008,0.009,4.144,
0.012,0.006,4.144,
0.012,0.007,4.144,
0.012,0.008,4.144,
0.014,0.008,4.144,
0.006,0.008,4.144,
0.006,0.009,4.144,
0.007,0.007,4.144,
0.020,0.009,4.144,
0.004,0.010,4.144,
0.011,0.008,4.144,
0.013,0.006,4.144,
0.007,0.009,4.144,
0.016,0.008,4.144,
0.009,0.007,4.144,
0.007,0.006,4.144,
0.009,0.010,4.144,
0.008,0.007,4.144,
0.006,0.009,4.144,
0.007,0.008,4.144,
0.011,0.008,4.144,
0.006,0.008,4.144,
0.007,0.017,4.144,
0.007,0.009,4.144,
0.008,0.009,4.144,
0.006,0.005,4.144,
0.006,0.005,4.144,
0.007,0.009,4.144,
0.010,0.008,4.144,
0.006,0.008,4.144,
0.005,0.008,4.144,
0.006,0.008,4.144,
0.006,0.006,4.144,
0.007,0.010,4.144,
0.010,0.008,4.144,
0.008,0.008,4.144,
0.007,0.006,4.144,
0.037,0.008,4.144,
0.006,0.009,4.144,
0.005,0.007,4.144,
0.005,0.009,4.144,
0.008,0.018,4.144,
0.005,0.009,4.144,
0.006,0.007,4.144,
0.004,0.009,4.144,
0.004,0.007,4.144,
0.005,0.006,4.144,
0.008,0.007,4.144,
0.007,0.009,4.144,
0.009,0.006,4.144,
0.005,0.006,4.144,
0.006,0.005,4.144,
0.006,0.009,4.144,
0.005,0.007,4.144,
0.008,0.007,4.144,
0.007,0.008,4.144,
0.013,0.009,4.144,
0.007,0.008,4.144,
0.004,0.005,4.144,
0.005,0.008,4.144,
0.008,0.006,4.144,
0.011,0.008,4.144,
0.014,0.009,4.144,
0.005,0.010,4.144,
0.007,0.006,4.144,
0.005,0.006,4.144,
0.005,0.007,4.144,
0.009,0.007,4.144,
0.006,0.006,4.144,
0.007,0.010,4.144,
0.005,0.007,4.144,
0.005,0.007,4.144,
0.007,0.008,4.144,
0.007,0.006,4.144,
0.007,0.004,4.144,
0.007,0.010,4.144,
0.006,0.009,4.144,
0.008,0.006,4.144,
0.008,0.007,4.144,
0.009,0.008,4.144,
0.012,0.009,4.144,
0.005,0.009,4.144,
0.008,0.007,4.144,
0.009,0.007,4.144,
0.009,0.007,4.144,
0.018,0.007,4.144,
0.019,0.008,4.144,
0.019,0.008,4.144,
0.016,0.007,4.144,
0.049,0.007,4.144,
0.019,0.010,4.144,
0.019,0.007,4.144,
0.020,0.009,4.144,
0.020,0.007,4.144,
0.017,0.007,4.144,
0.018,0.007,4.144,
0.022,0.009,4.144,
0.019,0.007,4.144,
0.020,0.008,4.144,
0.020,0.006,4.144,
0.016,0.009,4.144,
0.017,0.009,4.144,
0.017,0.007,4.144,
0.019,0.009,4.144,
0.015,0.007,4.144,
0.018,0.007,4.144,
0.019,0.005,4.144,
0.017,0.007,4.144,
0.019,0.005,4.144,
0.037,0.009,4.144,
0.043,0.009,4.144,
0.030,0.007,4.144,
0.014,0.019,4.144,
0.018,0.009,4.144,
0.017,0.009,4.144,
0.004,0.007,4.144,
0.016,0.008,4.144,
0.007,0.009,4.144,
0.028,0.006,4.144,
0.020,0.009,4.144,
0.019,0.006,4.144,
0.021,0.007,4.144,
0.031,0.009,4.144,
0.063,0.007,4.144,
0.020,0.006,4.144,
0.020,0.008,4.144,
0.019,0.007,4.144,
0.018,0.009,4.144,
0.017,0.006,4.144,
0.022,0.009,4.144,
0.014,0.008,4.144,
0.023,0.009,4.144,
0.017,0.007,4.144,
0.018,0.009,4.144,
0.034,0.007,4.144,
0.008,0.008,4.144,
0.007,0.008,4.144,
0.007,0.004,4.144,
0.007,0.010,4.144,
0.010,0.009,4.144,
0.010,0.009,4.144,
0.006,0.009,4.144,
0.015,0.007,4.144,
0.007,0.008,4.144,
0.006,0.008,4.144,
0.009,0.008,4.144,
0.006,0.009,4.144,
0.007,0.009,4.144,
0.005,0.006,4.144,
0.007,0.014,4.144,
0.004,0.008,4.144,
0.006,0.009,4.144,
0.006,0.007,4.144,
0.007,0.006,4.144,
0.008,0.010,4.144,
0.009,0.007,4.144,
0.008,0.006,4.144,
0.006,0.008,4.144,
0.007,0.009,4.144,
0.007,0.007,4.144,
0.008,0.009,4.144,
0.009,0.009,4.144,
0.006,0.009,4.144,
0.007,0.006,4.144,
0.008,0.006,4.144,
0.010,0.006,4.144,
0.007,0.007,4.144,
0.010,0.010,4.144,
0.008,0.008,4.144,
0.008,0.009,4.144,
0.003,0.006,4.144,
0.006,0.007,4.144,
0.006,0.008,4.144,
0.007,0.008,4.144,
0.008,0.018,4.144,
0.009,0.008,4.144,
0.006,0.008,4.144,
0.007,0.008,4.144,
0.005,0.008,4.144,
0.007,0.006,4.144,
0.005,0.009,4.144,
0.006,0.008,4.144,
0.006,0.006,4.144,
0.006,0.009,4.144,
0.006,0.008,4.144,
0.006,0.007,4.144,
0.007,0.007,4.144,
0.007,0.007,4.144,
0.022,0.006,4.144,
0.007,0.008,4.144,
0.006,0.008,4.144,
0.008,0.009,4.144,
0.006,0.009,4.144,
0.007,0.008,4.144,
0.006,0.007,4.144,
0.005,0.006,4.144,
0.006,0.007,4.144,
0.006,0.008,4.144,
0.006,0.007,4.144,
0.006,0.007,4.144,
0.006,0.009,4.144,
0.008,0.006,4.144,
0.007,0.005,4.144,
0.014,0.007,4.144,
0.006,0.008,4.144,
0.006,0.005,4.144,
0.006,0.008,4.144,
0.007,0.008,4.144,
0.008,0.008,4.144,
0.008,0.007,4.144,
0.007,0.008,4.144,
0.005,0.006,4.144,
0.007,0.008,4.144,
0.016,0.008,4.144,
0.006,0.007,4.144,
0.010,0.007,4.144,
0.007,0.008,4.144,
0.009,0.007,4.144,
0.006,0.008,4.144,
0.008,0.005,4.144,
0.004,0.007,4.144,
0.007,0.007,4.144,
0.007,0.005,4.144,
0.004,0.008,4.144,
0.010,0.007,4.144,
0.006,0.007,4.144,
0.005,0.007,4.144,
0.009,0.010,4.144,
0.012,0.005,4.144,
0.010,0.009,4.144,
0.007,0.007,4.144,
0.004,0.005,4.144,
0.006,0.007,4.144,
0.007,0.009,4.144,
0.015,0.008,4.144,
0.008,0.008,4.144,
0.004,0.005,4.144,
0.034,0.009,4.144,
0.006,0.006,4.144,
0.010,0.007,4.144,
0.008,0.008,4.144,
0.007,0.005,4.144,
0.007,0.006,4.144,
0.007,0.009,4.144,
0.007,0.008,4.144,
0.006,0.006,4.144,
0.004,0.005,4.144,
0.021,0.007,4.144,
0.008,0.005,4.144,
0.006,0.005,4.144,
0.005,0.009,4.144,
0.007,0.008,4.144,
0.005,0.005,4.144,
0.006,0.005,4.144,
0.008,0.008,4.144,
0.012,0.009,4.144,
0.008,0.005,4.144,
0.005,0.006,4.144,
0.006,0.008,4.144,
0.003,0.008,4.144,
0.006,0.008,4.144,
0.005,0.008,4.144,
0.027,0.009,4.144,
0.006,0.009,4.144,
0.010,0.008,4.144,
0.011,0.007,4.144,
0.006,0.009,4.144,
0.006,0.007,4.144,
0.006,0.009,4.144,
0.010,0.007,4.144,
0.005,0.007,4.144,
0.008,0.009,4.144,
0.008,0.006,4.144,
0.006,0.008,4.144,
0.006,0.006,4.144,
0.007,0.009,4.144,
0.004,0.006,4.144,
0.007,0.008,4.144,
0.006,0.008,4.144,
0.007,0.006,4.144,
0.008,0.008,4.144,
0.007,0.008,4.144,
0.009,0.005,4.144,
0.008,0.008,4.144,
0.007,0.009,4.144,
0.017,0.009,4.144,
0.005,0.008,4.144,
0.009,0.009,4.144,
0.006,0.007,4.144,
0.008,0.006,4.144,
0.008,0.017,4.144,
0.007,0.008,4.144,
0.005,0.006,4.144,
0.006,0.009,4.144,
0.006,0.007,4.144,
0.006,0.014,4.144,
0.006,0.007,4.144,
0.010,0.007,4.144,
0.007,0.006,4.144,
0.006,0.007,4.144,
0.009,0.007,4.144,
0.009,0.008,4.144,
0.013,0.008,4.144,
0.006,0.008,4.144,
0.006,0.008,4.144,
0.006,0.007,4.144,
0.008,0.008,4.144,
0.006,0.006,4.144,
0.009,0.008,4.144,
0.006,0.005,4.144,
0.031,0.009,4.144,
0.007,0.007,4.144,
0.006,0.005,4.144,
0.006,0.009,4.144,
0.006,0.007,4.144,
0.005,0.009,4.144,
0.005,0.009,4.144,
0.007,0.007,4.144,
0.005,0.006,4.144,
0.006,0.015,4.144,
0.006,0.007,4.144,
0.007,0.009,4.144,
0.008,0.007,4.144,
0.006,0.006,4.144,
0.004,0.010,4.144,
0.007,0.006,4.144,
0.007,0.008,4.144,
0.007,0.007,4.144,
0.006,0.008,4.144,
0.007,0.008,4.144,
0.007,0.008,4.144,
0.007,0.007,4.144,
0.005,0.007,4.144,
0.003,0.007,4.144,
0.008,0.009,4.144,
0.034,0.014,4.144,
0.005,0.008,4.144,
0.009,0.007,4.144,
0.009,0.007,4.144,
0.007,0.005,4.144,
0.007,0.008,4.144,
0.008,0.007,4.144,
0.008,0.006,4.144,
0.008,0.007,4.144,
0.007,0.008,4.144,
0.006,0.008,4.144,
0.008,0.006,4.144,
0.006,0.009,4.144,
0.009,0.008,4.144,
0.005,0.007,4.144,
0.007,0.010,4.144,
0.007,0.008,4.144,
0.007,0.006,4.144,
0.014,0.005,4.144,
0.009,0.008,4.144,
0.004,0.008,4.144,
0.011,0.007,4.144,
0.007,0.006,4.144,
0.011,0.006,4.144,
0.048,0.008,4.144,
0.006,0.008,4.144,
0.008,0.008,4.144,
0.021,0.007,4.144,
0.007,0.010,4.144,
0.007,0.008,4.144,
0.007,0.008,4.144,
0.008,0.007,4.144,
0.007,0.009,4.144,
0.007,0.010,4.144,
0.006,0.006,4.144,
0.008,0.007,4.144,
0.006,0.009,4.144,
0.006,0.007,4.144,
0.007,0.008,4.144,
0.006,0.009,4.144,
0.006,0.005,4.144,
0.017,0.005,4.144,
0.005,0.008,4.144,
0.010,0.008,4.144,
0.006,0.006,4.144,
0.008,0.005,4.144,
0.005,0.008,4.144,
0.020,0.009,4.144,
0.007,0.006,4.144,
0.008,0.008,4.144,
0.007,0.009,4.144,
0.009,0.004,4.144,
0.009,0.009,4.144,
0.008,0.005,4.144,
0.008,0.006,4.144,
0.009,0.007,4.144,
0.021,0.008,4.144,
0.013,0.008,4.144,
0.009,0.006,4.144,
0.006,0.008,4.144,
0.007,0.007,4.144,
0.006,0.017,4.144,
0.008,0.008,4.144,
0.009,0.006,4.144,
0.006,0.008,4.144,
0.007,0.010,4.144,
0.008,0.009,4.144,
0.007,0.004,4.144,
0.018,0.007,4.144,
0.055,0.006,4.144,
0.011,0.009,4.144,
0.013,0.006,4.144,
0.014,0.008,4.144,
0.011,0.008,4.144,
0.012,0.009,4.144,
0.010,0.007,4.144,
0.006,0.007,4.144,
0.006,0.007,4.144,
0.009,0.009,4.144,
0.011,0.009,4.144,
0.011,0.016,4.144,
0.014,0.007,4.144,
0.013,0.008,4.144,
0.012,0.008,4.144,
0.012,0.010,4.144,
0.029,0.009,4.144,
0.011,0.009,4.144,
0.006,0.008,4.144,
0.005,0.005,4.144,
0.007,0.006,4.144,
0.043,0.008,4.144,
0.011,0.018,4.144,
0.010,0.010,4.144,
0.012,0.007,4.144,
0.013,0.008,4.144,
0.011,0.010,4.144,
0.014,0.007,4.144,
0.011,0.005,4.144,
0.011,0.007,4.144,
0.009,0.009,4.144,
0.012,0.008,4.144,
0.007,0.009,4.144,
0.012,0.007,4.144,
0.010,0.009,4.144,
0.013,0.009,4.144,
0.011,0.006,4.144,
0.009,0.010,4.144,
0.010,0.010,4.144,
0.011,0.007,4.144,
0.020,0.007,4.144,
0.024,0.006,4.144,
0.010,0.009,4.144,
0.011,0.007,4.144,
0.012,0.006,4.144,
0.009,0.006,4.144,
0.006,0.006,4.144,
0.004,0.008,4.144,
0.008,0.007,4.144,
0.007,0.005,4.144,
0.005,0.007,4.144,
0.005,0.009,4.144,
0.008,0.005,4.144,
0.007,0.016,4.144,
0.006,0.008,4.144,
0.007,0.007,4.144,
0.006,0.007,4.144,
0.007,0.007,4.144,
0.006,0.009,4.144,
0.006,0.015,4.144,
0.005,0.008,4.144,
0.007,0.006,4.144,
0.029,0.008,4.144,
0.006,0.007,4.144,
0.006,0.007,4.144,
0.007,0.005,4.144,
0.007,0.007,4.144,
0.007,0.009,4.144,
0.006,0.007,4.144,
0.007,0.008,4.144,
0.007,0.006,4.144,
0.007,0.007,4.144,
0.006,0.007,4.144,
0.016,0.008,4.144,
0.007,0.006,4.144,
0.006,0.008,4.144,
0.006,0.009,4.144,
0.008,0.004,4.144,
0.009,0.006,4.144,
0.007,0.007,4.144,
0.006,0.009,4.144,
0.005,0.008,4.144,
0.006,0.008,4.144,
0.006,0.006,4.144,
0.006,0.006,4.144,
0.005,0.008,4.144,
0.007,0.008,4.144,
0.023,0.008,4.144,
0.008,0.007,4.144,
0.009,0.008,4.144,
0.007,0.008,4.144,
0.007,0.007,4.144,
0.006,0.009,4.144,
0.007,0.008,4.144,
0.007,0.006,4.144,
0.006,0.007,4.144,
0.006,0.008,4.144,
0.007,0.009,4.144,
0.007,0.007,4.144,
0.007,0.007,4.144,
0.007,0.009,4.144,
0.007,0.007,4.144,
0.005,0.006,4.144,
0.005,0.006,4.144,
0.008,0.007,4.144,
0.006,0.005,4.144,
0.005,0.008,4.144,
0.006,0.008,4.144,
0.008,0.008,4.144,
0.007,0.006,4.144,
0.005,0.006,4.144,
0.012,0.005,4.144,
0.006,0.006,4.144,
0.006,0.006,4.144,
0.007,0.009,4.144,
0.006,0.008,4.144,
0.006,0.010,4.144,
0.006,0.010,4.144,
0.006,0.007,4.144,
0.042,0.009,4.144,
0.004,0.009,4.144,
0.007,0.008,4.144,
0.008,0.007,4.144,
0.008,0.007,4.144,
0.006,0.006,4.144,
0.009,0.009,4.144,
0.010,0.007,4.144,
0.007,0.008,4.144,
0.006,0.009,4.144,
0.008,0.008,4.144,
0.009,0.006,4.144,
0.008,0.006,4.144,
0.010,0.008,4.144,
0.008,0.006,4.144,
0.006,0.007,4.144,
0.006,0.008,4.144,
0.009,0.008,4.144,
0.007,0.009,4.144,
0.006,0.007,4.144,
0.007,0.006,4.144,
0.007,0.005,4.144,
0.006,0.008,4.144,
0.007,0.004,4.144,
0.043,0.006,4.144,
0.052,0.005,4.144,
0.056,0.008,4.144,
0.050,0.008,4.144,
0.022,0.008,4.144,
0.022,0.010,4.144,
0.028,0.007,4.144,
0.023,0.007,4.144,
0.026,0.007,4.144,
0.006,0.008,4.144,
0.011,0.005,4.144,
0.006,0.006,4.144,
0.008,0.008,4.144,
0.007,0.006,4.144,
0.006,0.008,4.144,
0.007,0.008,4.144,
0.007,0.008,4.144,
0.005,0.007,4.144,
0.006,0.007,4.144,
0.008,0.005,4.144,
0.005,0.007,4.144,
0.007,0.007,4.144,
